560  16.77  19.99  8.809 10 36.47
420  15.89  19.20  7.698 10 35.96
360  15.36  18.75  6.977 10 34.43
280  14.57  18.07  5.948 10 33.18
240  13.99  17.51  5.273 10 32.75
200  13.45  17.06  4.533 10 31.59
